entidad_ocurrencia,sexo_cat,edad_anios,grupo_edad,conindig_cat,afromex_cat,nacionalidad_cat,lugar_ocurrencia,area_ur_cat
Aguascalientes,Hombre,34,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,39,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,40,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Rural
Aguascalientes,Hombre,41,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,38,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Rural
Aguascalientes,Hombre,47,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,34,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,54,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,55,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,59,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,23,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Mujer,17,Adolescentes (10–19),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Rural
Aguascalientes,Mujer,29,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Rural
Aguascalientes,Hombre,41,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,43,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,30,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,32,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Rural
Aguascalientes,Hombre,44,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,47,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,24,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,21,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,22,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,43,Adultos (36–59),No indígena,No afromexicana,Mexicana,Otro,Rural
Aguascalientes,Mujer,53,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,39,Adultos (36–59),No indígena,No afromexicana,Mexicana,Otro,Rural
Aguascalientes,Hombre,30,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,53,Adultos (36–59),No indígena,No afromexicana,Mexicana,Área comercial o de servicios,Urbana
Aguascalientes,Hombre,40,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Rural
Aguascalientes,Hombre,46,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,29,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
No especificada,Hombre,31,Jóvenes (20–35),No indígena,No especificada,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,19,Adolescentes (10–19),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,35,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,30,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,41,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
